# StainedGlass Shader Profiler
# Configuration: Hybrid
# BoidCount: 500
# GPU: Apple M2
# CPU: Apple M2
# RAM_MB: 16384
# UnityVersion: 6000.3.8f1
# Recorded: 2026-04-27 15:50:04
Frame,GPU_ms,RenderThread_ms,BoidCount,Configuration,IsolationActive
252,3.748,0.000,500,Hybrid,0
253,3.623,0.000,500,Hybrid,0
254,3.520,0.000,500,Hybrid,0
255,3.709,0.000,500,Hybrid,0
256,3.802,0.000,500,Hybrid,0
257,2.967,0.000,500,Hybrid,0
258,2.901,0.000,500,Hybrid,0
259,2.966,0.000,500,Hybrid,0
260,3.457,0.000,500,Hybrid,0
261,3.414,0.000,500,Hybrid,0
262,3.390,0.000,500,Hybrid,0
263,3.338,0.000,500,Hybrid,0
264,3.502,0.000,500,Hybrid,0
265,4.192,0.000,500,Hybrid,0
266,3.498,0.000,500,Hybrid,0
267,3.362,0.000,500,Hybrid,0
268,3.318,0.000,500,Hybrid,0
269,3.741,0.000,500,Hybrid,0
270,4.406,0.000,500,Hybrid,0
271,4.433,0.000,500,Hybrid,0
272,4.355,0.000,500,Hybrid,0
273,2.458,0.000,500,Hybrid,0
274,3.621,0.000,500,Hybrid,0
275,3.812,0.000,500,Hybrid,0
276,3.681,0.000,500,Hybrid,0
277,3.606,0.000,500,Hybrid,0
278,3.481,0.000,500,Hybrid,0
279,3.657,0.000,500,Hybrid,0
280,3.744,0.000,500,Hybrid,0
281,3.456,0.000,500,Hybrid,0
282,3.377,0.000,500,Hybrid,0
283,3.295,0.000,500,Hybrid,0
284,3.585,0.000,500,Hybrid,0
285,3.736,0.000,500,Hybrid,0
286,3.800,0.000,500,Hybrid,0
287,3.680,0.000,500,Hybrid,0
288,3.664,0.000,500,Hybrid,0
289,5.165,0.000,500,Hybrid,0
290,4.586,0.000,500,Hybrid,0
291,4.585,0.000,500,Hybrid,0
292,4.187,0.000,500,Hybrid,0
293,4.006,0.000,500,Hybrid,0
294,4.064,0.000,500,Hybrid,0
295,4.135,0.000,500,Hybrid,0
296,4.125,0.000,500,Hybrid,0
297,3.141,0.000,500,Hybrid,0
298,3.569,0.000,500,Hybrid,0
299,3.735,0.000,500,Hybrid,0
300,3.951,0.000,500,Hybrid,0
301,3.974,0.000,500,Hybrid,0
302,3.848,0.000,500,Hybrid,0
303,3.998,0.000,500,Hybrid,0
304,4.040,0.000,500,Hybrid,0
305,4.587,0.000,500,Hybrid,0
306,4.605,0.000,500,Hybrid,0
307,4.421,0.000,500,Hybrid,0
308,4.385,0.000,500,Hybrid,0
309,4.333,0.000,500,Hybrid,0
310,4.337,0.000,500,Hybrid,0
311,4.362,0.000,500,Hybrid,0
312,4.482,0.000,500,Hybrid,0
313,4.542,0.000,500,Hybrid,0
314,3.758,0.000,500,Hybrid,0
315,6.441,0.000,500,Hybrid,0
316,8.617,0.000,500,Hybrid,0
317,8.247,0.000,500,Hybrid,0
318,8.531,0.000,500,Hybrid,0
319,8.562,0.000,500,Hybrid,0
320,8.276,0.000,500,Hybrid,0
321,6.393,0.000,500,Hybrid,0
322,6.319,0.000,500,Hybrid,0
323,5.617,0.000,500,Hybrid,0
324,4.737,0.000,500,Hybrid,0
325,4.195,0.000,500,Hybrid,0
326,3.844,0.000,500,Hybrid,0
327,3.630,0.000,500,Hybrid,0
328,3.426,0.000,500,Hybrid,0
329,2.146,0.000,500,Hybrid,0
330,2.079,0.000,500,Hybrid,0
331,2.123,0.000,500,Hybrid,0
332,2.265,0.000,500,Hybrid,0
333,2.209,0.000,500,Hybrid,0
334,2.273,0.000,500,Hybrid,0
335,2.310,0.000,500,Hybrid,0
336,2.413,0.000,500,Hybrid,0
337,3.932,0.000,500,Hybrid,0
338,3.548,0.000,500,Hybrid,0
339,3.311,0.000,500,Hybrid,0
340,2.984,0.000,500,Hybrid,0
341,2.920,0.000,500,Hybrid,0
342,2.922,0.000,500,Hybrid,0
343,2.956,0.000,500,Hybrid,0
344,2.950,0.000,500,Hybrid,0
345,2.364,0.000,500,Hybrid,0
346,3.144,0.000,500,Hybrid,0
347,3.150,0.000,500,Hybrid,0
348,3.235,0.000,500,Hybrid,0
349,3.213,0.000,500,Hybrid,0
350,3.119,0.000,500,Hybrid,0
351,3.311,0.000,500,Hybrid,0
352,3.337,0.000,500,Hybrid,0
353,2.972,0.000,500,Hybrid,0
354,3.031,0.000,500,Hybrid,0
355,3.385,0.000,500,Hybrid,0
356,3.541,0.000,500,Hybrid,0
357,3.738,0.000,500,Hybrid,0
