# StainedGlass Shader Profiler
# Configuration: Static
# BoidCount: 500
# GPU: Apple M2
# CPU: Apple M2
# RAM_MB: 16384
# UnityVersion: 6000.3.8f1
# Recorded: 2026-04-27 15:51:47
Frame,GPU_ms,RenderThread_ms,BoidCount,Configuration,IsolationActive
293,2.370,0.000,500,Static,0
294,2.357,0.000,500,Static,0
295,2.350,0.000,500,Static,0
296,2.361,0.000,500,Static,0
297,2.306,0.000,500,Static,0
298,2.416,0.000,500,Static,0
299,2.490,0.000,500,Static,0
300,2.432,0.000,500,Static,0
301,2.405,0.000,500,Static,0
302,2.380,0.000,500,Static,0
303,2.369,0.000,500,Static,0
304,2.389,0.000,500,Static,0
305,2.579,0.000,500,Static,0
306,2.443,0.000,500,Static,0
307,2.399,0.000,500,Static,0
308,2.375,0.000,500,Static,0
309,2.359,0.000,500,Static,0
310,2.469,0.000,500,Static,0
311,2.489,0.000,500,Static,0
312,2.468,0.000,500,Static,0
313,2.324,0.000,500,Static,0
314,2.315,0.000,500,Static,0
315,2.303,0.000,500,Static,0
316,2.496,0.000,500,Static,0
317,2.557,0.000,500,Static,0
318,2.511,0.000,500,Static,0
319,2.481,0.000,500,Static,0
320,2.455,0.000,500,Static,0
321,2.294,0.000,500,Static,0
322,2.624,0.000,500,Static,0
323,2.572,0.000,500,Static,0
324,2.502,0.000,500,Static,0
325,2.462,0.000,500,Static,0
326,2.435,0.000,500,Static,0
327,2.416,0.000,500,Static,0
328,2.503,0.000,500,Static,0
329,2.955,0.000,500,Static,0
330,2.631,0.000,500,Static,0
331,2.526,0.000,500,Static,0
332,2.471,0.000,500,Static,0
333,2.440,0.000,500,Static,0
334,2.556,0.000,500,Static,0
335,2.631,0.000,500,Static,0
336,2.631,0.000,500,Static,0
337,2.307,0.000,500,Static,0
338,2.310,0.000,500,Static,0
339,2.317,0.000,500,Static,0
340,2.312,0.000,500,Static,0
341,2.362,0.000,500,Static,0
342,2.354,0.000,500,Static,0
343,2.303,0.000,500,Static,0
344,2.262,0.000,500,Static,0
345,1.965,0.000,500,Static,0
346,2.104,0.000,500,Static,0
347,2.174,0.000,500,Static,0
348,2.172,0.000,500,Static,0
349,2.132,0.000,500,Static,0
350,2.105,0.000,500,Static,0
351,2.083,0.000,500,Static,0
352,2.128,0.000,500,Static,0
353,2.212,0.000,500,Static,0
354,2.079,0.000,500,Static,0
355,2.044,0.000,500,Static,0
356,2.025,0.000,500,Static,0
357,2.011,0.000,500,Static,0
358,2.048,0.000,500,Static,0
359,2.041,0.000,500,Static,0
360,2.029,0.000,500,Static,0
361,1.956,0.000,500,Static,0
362,1.957,0.000,500,Static,0
363,1.954,0.000,500,Static,0
364,2.096,0.000,500,Static,0
365,2.081,0.000,500,Static,0
366,2.061,0.000,500,Static,0
367,2.046,0.000,500,Static,0
368,2.037,0.000,500,Static,0
369,1.964,0.000,500,Static,0
370,2.183,0.000,500,Static,0
371,2.113,0.000,500,Static,0
372,2.075,0.000,500,Static,0
373,2.051,0.000,500,Static,0
374,2.037,0.000,500,Static,0
375,2.027,0.000,500,Static,0
376,2.085,0.000,500,Static,0
377,1.940,0.000,500,Static,0
378,1.943,0.000,500,Static,0
379,1.947,0.000,500,Static,0
380,1.950,0.000,500,Static,0
381,1.954,0.000,500,Static,0
382,2.049,0.000,500,Static,0
383,2.048,0.000,500,Static,0
384,2.038,0.000,500,Static,0
385,1.962,0.000,500,Static,0
386,1.958,0.000,500,Static,0
387,1.957,0.000,500,Static,0
388,2.095,0.000,500,Static,0
389,2.119,0.000,500,Static,0
390,2.090,0.000,500,Static,0
391,2.072,0.000,500,Static,0
392,2.060,0.000,500,Static,0
393,1.963,0.000,500,Static,0
394,2.241,0.000,500,Static,0
395,2.262,0.000,500,Static,0
396,2.187,0.000,500,Static,0
397,2.137,0.000,500,Static,0
398,2.107,0.000,500,Static,0
399,2.085,0.000,500,Static,0
400,2.140,0.000,500,Static,0
401,2.292,0.000,500,Static,0
402,2.270,0.000,500,Static,0
403,2.167,0.000,500,Static,0
404,2.118,0.000,500,Static,0
405,2.084,0.000,500,Static,0
406,2.153,0.000,500,Static,0
407,2.175,0.000,500,Static,0
408,2.190,0.000,500,Static,0
409,2.216,0.000,500,Static,0
410,2.092,0.000,500,Static,0
411,2.046,0.000,500,Static,0
412,2.153,0.000,500,Static,0
413,2.181,0.000,500,Static,0
414,2.200,0.000,500,Static,0
415,2.211,0.000,500,Static,0
416,2.189,0.000,500,Static,0
417,1.959,0.000,500,Static,0
418,2.230,0.000,500,Static,0
419,2.246,0.000,500,Static,0
420,2.263,0.000,500,Static,0
421,2.273,0.000,500,Static,0
422,2.278,0.000,500,Static,0
423,2.259,0.000,500,Static,0
424,2.289,0.000,500,Static,0
425,2.305,0.000,500,Static,0
426,2.303,0.000,500,Static,0
427,2.300,0.000,500,Static,0
428,2.300,0.000,500,Static,0
429,2.310,0.000,500,Static,0
430,2.394,0.000,500,Static,0
431,2.375,0.000,500,Static,0
432,2.369,0.000,500,Static,0
433,2.317,0.000,500,Static,0
434,2.312,0.000,500,Static,0
435,2.337,0.000,500,Static,0
436,2.560,0.000,500,Static,0
437,2.645,0.000,500,Static,0
438,2.590,0.000,500,Static,0
439,2.545,0.000,500,Static,0
440,2.515,0.000,500,Static,0
441,2.443,0.000,500,Static,0
442,2.811,0.000,500,Static,0
443,3.038,0.000,500,Static,0
444,3.043,0.000,500,Static,0
445,2.913,0.000,500,Static,0
446,2.812,0.000,500,Static,0
447,2.740,0.000,500,Static,0
448,2.713,0.000,500,Static,0
449,2.269,0.000,500,Static,0
450,2.281,0.000,500,Static,0
451,2.285,0.000,500,Static,0
452,2.219,0.000,500,Static,0
453,2.166,0.000,500,Static,0
454,2.220,0.000,500,Static,0
455,2.231,0.000,500,Static,0
456,2.241,0.000,500,Static,0
457,2.232,0.000,500,Static,0
458,2.085,0.000,500,Static,0
459,2.039,0.000,500,Static,0
460,2.150,0.000,500,Static,0
461,2.181,0.000,500,Static,0
462,2.200,0.000,500,Static,0
463,2.203,0.000,500,Static,0
464,2.171,0.000,500,Static,0
465,1.916,0.000,500,Static,0
466,2.206,0.000,500,Static,0
467,2.237,0.000,500,Static,0
468,2.251,0.000,500,Static,0
469,2.211,0.000,500,Static,0
470,2.167,0.000,500,Static,0
471,2.137,0.000,500,Static,0
472,2.185,0.000,500,Static,0
473,2.302,0.000,500,Static,0
474,2.304,0.000,500,Static,0
475,2.222,0.000,500,Static,0
476,2.158,0.000,500,Static,0
477,2.120,0.000,500,Static,0
478,2.189,0.000,500,Static,0
479,2.208,0.000,500,Static,0
480,2.219,0.000,500,Static,0
481,2.045,0.000,500,Static,0
482,1.996,0.000,500,Static,0
483,1.981,0.000,500,Static,0
484,2.113,0.000,500,Static,0
485,2.148,0.000,500,Static,0
486,2.176,0.000,500,Static,0
487,2.175,0.000,500,Static,0
488,2.147,0.000,500,Static,0
489,1.947,0.000,500,Static,0
490,2.222,0.000,500,Static,0
491,2.249,0.000,500,Static,0
492,2.264,0.000,500,Static,0
493,2.257,0.000,500,Static,0
494,2.204,0.000,500,Static,0
495,2.167,0.000,500,Static,0
496,2.212,0.000,500,Static,0
497,2.303,0.000,500,Static,0
498,2.307,0.000,500,Static,0
499,2.308,0.000,500,Static,0
500,2.243,0.000,500,Static,0
501,2.183,0.000,500,Static,0
502,2.230,0.000,500,Static,0
503,2.241,0.000,500,Static,0
504,2.248,0.000,500,Static,0
505,2.288,0.000,500,Static,0
506,2.172,0.000,500,Static,0
507,2.099,0.000,500,Static,0
508,2.202,0.000,500,Static,0
