# StainedGlass Shader Profiler
# Shader filter: DynamicShader
# Recorded: 4/25/2026 1:49:08 PM
Frame,GPU_ms,RenderThread_ms,IsolationActive
442,1.351,0.000,0
443,1.284,0.000,0
444,1.250,0.000,0
445,1.223,0.000,0
446,1.210,0.000,0
447,1.201,0.000,0
448,1.051,0.000,0
449,1.120,0.000,0
450,0.638,0.000,0
451,0.815,0.000,0
452,0.892,0.000,0
453,0.944,0.000,0
454,0.977,0.000,0
455,0.998,0.000,0
456,1.013,0.000,0
457,1.145,0.000,0
458,1.146,0.000,0
459,1.149,0.000,0
460,1.141,0.000,0
461,1.144,0.000,0
462,1.141,0.000,0
463,1.141,0.000,0
464,1.139,0.000,0
465,1.159,0.000,0
466,1.158,0.000,0
467,1.163,0.000,0
468,1.154,0.000,0
469,1.156,0.000,0
470,1.156,0.000,0
471,1.153,0.000,0
472,1.151,0.000,0
473,1.160,0.000,0
474,1.161,0.000,0
475,1.163,0.000,0
476,1.154,0.000,0
477,1.234,0.000,0
478,1.218,0.000,0
479,1.209,0.000,0
480,1.202,0.000,0
481,1.577,0.000,0
482,1.360,0.000,0
483,1.298,0.000,0
484,1.254,0.000,0
485,1.235,0.000,0
486,1.029,0.000,0
487,1.044,0.000,0
488,0.933,0.000,0
489,1.132,0.000,0
490,1.335,0.000,0
491,1.272,0.000,0
492,1.245,0.000,0
493,1.221,0.000,0
494,1.281,0.000,0
495,1.258,0.000,0
496,1.101,0.000,0
497,3.581,0.000,0
498,2.549,0.000,0
499,2.144,0.000,0
500,2.013,0.000,0
501,1.847,0.000,0
502,1.737,0.000,0
503,1.658,0.000,0
504,1.455,0.000,0
505,1.155,0.000,0
506,1.174,0.000,0
507,0.839,0.000,0
508,0.929,0.000,0
509,0.984,0.000,0
510,1.018,0.000,0
511,1.043,0.000,0
512,1.052,0.000,0
513,1.570,0.000,0
514,0.785,0.000,0
515,0.976,0.000,0
516,0.732,0.000,0
517,0.827,0.000,0
518,0.914,0.000,0
519,1.025,0.000,0
520,1.043,0.000,0
521,1.218,0.000,0
522,1.215,0.000,0
523,1.221,0.000,0
524,1.325,0.000,0
525,1.303,0.000,0
526,1.286,0.000,0
527,1.129,0.000,0
528,1.142,0.000,0
529,1.232,0.000,0
530,1.248,0.000,0
531,1.240,0.000,0
532,1.244,0.000,0
533,1.245,0.000,0
534,1.244,0.000,0
535,1.243,0.000,0
536,1.242,0.000,0
537,1.221,0.000,0
538,1.452,0.000,0
539,1.371,0.000,0
540,1.339,0.000,0
541,1.318,0.000,0
542,1.315,0.000,0
543,1.305,0.000,0
544,1.298,0.000,0
545,1.257,0.000,0
546,1.231,0.000,0
547,1.227,0.000,0
548,0.921,0.000,0
549,0.979,0.000,0
550,1.030,0.000,0
551,1.060,0.000,0
552,1.078,0.000,0
553,1.302,0.000,0
554,1.265,0.000,0
555,1.273,0.000,0
556,1.257,0.000,0
557,1.252,0.000,0
558,1.248,0.000,0
559,1.248,0.000,0
560,1.244,0.000,0
561,1.243,0.000,0
562,1.227,0.000,0
563,1.224,0.000,0
564,1.218,0.000,0
565,1.219,0.000,0
566,1.016,0.000,0
567,1.045,0.000,0
568,0.935,0.000,0
569,1.183,0.000,0
570,1.207,0.000,0
571,1.215,0.000,0
572,1.220,0.000,0
573,1.336,0.000,0
574,1.653,0.000,0
575,1.417,0.000,0
576,1.608,0.000,0
577,1.560,0.000,0
578,2.396,0.000,0
579,2.123,0.000,0
580,1.977,0.000,0
581,1.823,0.000,0
582,1.719,0.000,0
583,1.642,0.000,0
584,1.588,0.000,0
585,1.502,0.000,0
586,1.345,0.000,0
587,1.294,0.000,0
588,0.970,0.000,0
589,1.007,0.000,0
590,0.870,0.000,0
591,0.915,0.000,0
592,0.951,0.000,0
593,1.203,0.000,0
594,1.197,0.000,0
595,1.203,0.000,0
596,1.308,0.000,0
597,1.281,0.000,0
598,1.264,0.000,0
599,1.256,0.000,0
600,1.253,0.000,0
602,1.689,0.000,0
603,1.126,0.000,0
604,1.250,0.000,0
605,1.740,0.000,0
606,1.715,0.000,0
607,1.966,0.000,0
608,1.914,0.000,0
609,1.214,0.000,0
610,1.208,0.000,0
611,1.214,0.000,0
612,1.211,0.000,0
613,1.204,0.000,0
614,1.030,0.000,0
615,1.054,0.000,0
616,1.071,0.000,0
617,1.196,0.000,0
618,1.206,0.000,0
619,1.313,0.000,0
620,1.281,0.000,0
621,1.258,0.000,0
622,1.246,0.000,0
623,1.242,0.000,0
624,1.293,0.000,0
625,3.454,0.000,0
626,2.546,0.000,0
627,2.980,0.000,0
628,3.319,0.000,0
629,2.655,0.000,0
630,2.487,0.000,0
631,2.358,0.000,0
632,2.220,0.000,0
633,1.249,0.000,0
634,0.625,0.000,0
635,0.817,0.000,0
636,0.660,0.000,0
637,0.770,0.000,0
638,0.836,0.000,0
639,0.891,0.000,0
640,0.930,0.000,0
641,1.229,0.000,0
642,1.239,0.000,0
643,1.240,0.000,0
644,1.231,0.000,0
645,1.227,0.000,0
646,1.222,0.000,0
647,1.312,0.000,0
648,1.625,0.000,0
649,1.655,0.000,0
650,2.430,0.000,0
651,2.985,0.000,0
652,2.239,0.000,0
653,2.122,0.000,0
654,1.966,0.000,0
655,1.864,0.000,0
656,1.780,0.000,0
657,1.202,0.000,0
658,0.601,0.000,0
659,0.813,0.000,0
660,0.653,0.000,0
661,0.766,0.000,0
662,0.837,0.000,0
663,0.717,0.000,0
664,1.040,0.000,0
666,0.854,0.000,0
667,1.938,0.000,0
668,1.870,0.000,0
669,2.200,0.000,0
670,2.108,0.000,0
671,1.974,0.000,0
672,1.880,0.000,0
673,1.215,0.000,0
674,1.235,0.000,0
675,1.221,0.000,0
676,1.213,0.000,0
677,1.210,0.000,0
678,1.208,0.000,0
679,1.201,0.000,0
680,1.199,0.000,0
682,0.836,0.000,0
683,0.614,0.000,0
684,0.765,0.000,0
685,0.863,0.000,0
686,0.921,0.000,0
687,1.015,0.000,0
688,1.033,0.000,0
689,1.244,0.000,0
690,1.212,0.000,0
691,1.208,0.000,0
692,1.217,0.000,0
693,1.334,0.000,0
694,1.112,0.000,0
695,1.189,0.000,0
696,1.420,0.000,0
697,1.582,0.000,0
698,2.468,0.000,0
699,2.216,0.000,0
700,2.055,0.000,0
701,1.894,0.000,0
702,1.781,0.000,0
703,1.698,0.000,0
704,1.686,0.000,0
705,1.218,0.000,0
706,0.692,0.000,0
707,0.875,0.000,0
708,0.656,0.000,0
709,0.851,0.000,0
710,0.907,0.000,0
711,0.954,0.000,0
712,0.984,0.000,0
713,1.250,0.000,0
714,1.231,0.000,0
715,1.232,0.000,0
716,1.226,0.000,0
717,1.232,0.000,0
718,1.226,0.000,0
719,1.232,0.000,0
720,1.284,0.000,0
721,1.217,0.000,0
722,1.212,0.000,0
723,1.203,0.000,0
724,1.216,0.000,0
725,0.973,0.000,0
726,1.354,0.000,0
727,1.161,0.000,0
728,1.220,0.000,0
729,2.920,0.000,0
730,3.228,0.000,0
731,2.152,0.000,0
732,2.026,0.000,0
733,1.866,0.000,0
734,1.758,0.000,0
735,1.534,0.000,0
736,1.496,0.000,0
737,1.595,0.000,0
738,1.405,0.000,0
739,1.334,0.000,0
740,1.306,0.000,0
741,1.285,0.000,0
742,1.274,0.000,0
743,1.259,0.000,0
744,1.253,0.000,0
745,1.196,0.000,0
746,1.200,0.000,0
747,1.210,0.000,0
748,1.204,0.000,0
749,1.274,0.000,0
750,1.909,0.000,0
751,2.359,0.000,0
752,2.064,0.000,0
753,4.717,0.000,0
754,2.358,0.000,0
755,2.133,0.000,0
756,1.906,0.000,0
757,1.770,0.000,0
758,1.681,0.000,0
759,1.467,0.000,0
760,1.485,0.000,0
761,1.214,0.000,0
762,1.219,0.000,0
763,1.209,0.000,0
764,1.214,0.000,0
765,1.220,0.000,0
766,1.224,0.000,0
767,1.223,0.000,0
768,1.223,0.000,0
769,1.213,0.000,0
770,1.217,0.000,0
771,1.222,0.000,0
772,1.225,0.000,0
773,1.230,0.000,0
774,1.229,0.000,0
775,1.230,0.000,0
776,1.230,0.000,0
777,1.234,0.000,0
778,1.245,0.000,0
779,1.241,0.000,0
780,1.221,0.000,0
781,1.227,0.000,0
782,1.226,0.000,0
783,1.227,0.000,0
784,1.226,0.000,0
785,1.218,0.000,0
786,1.223,0.000,0
787,1.213,0.000,0
788,1.225,0.000,0
789,0.980,0.000,0
790,1.086,0.000,0
791,1.101,0.000,0
792,1.117,0.000,0
793,1.179,0.000,0
794,1.196,0.000,0
795,1.221,0.000,0
796,1.323,0.000,0
797,1.302,0.000,0
798,1.288,0.000,0
799,1.281,0.000,0
800,1.275,0.000,0
801,1.226,0.000,0
802,1.219,0.000,0
803,1.217,0.000,0
804,1.211,0.000,0
805,1.215,0.000,0
806,1.214,0.000,0
807,1.270,0.000,0
808,1.259,0.000,0
809,1.227,0.000,0
810,1.213,0.000,0
811,1.211,0.000,0
812,0.951,0.000,0
813,1.014,0.000,0
814,1.054,0.000,0
815,1.080,0.000,0
816,1.098,0.000,0
818,0.828,0.000,0
819,0.956,0.000,0
820,1.015,0.000,0
821,1.059,0.000,0
822,1.087,0.000,0
823,1.105,0.000,0
824,1.173,0.000,0
825,1.198,0.000,0
826,1.212,0.000,0
827,1.204,0.000,0
828,1.207,0.000,0
829,1.215,0.000,0
830,1.217,0.000,0
831,1.216,0.000,0
832,1.219,0.000,0
833,1.200,0.000,0
834,1.070,0.000,0
835,1.025,0.000,0
836,1.004,0.000,0
837,0.993,0.000,0
838,0.985,0.000,0
839,0.981,0.000,0
840,0.974,0.000,0
841,0.965,0.000,0
842,0.956,0.000,0
843,0.947,0.000,0
844,0.939,0.000,0
845,0.942,0.000,0
846,0.944,0.000,0
847,0.943,0.000,0
848,0.825,0.000,0
849,0.951,0.000,0
850,0.960,0.000,0
851,0.977,0.000,0
852,0.970,0.000,0
853,0.973,0.000,0
854,0.968,0.000,0
855,0.962,0.000,0
856,0.958,0.000,0
857,0.932,0.000,0
858,0.922,0.000,0
859,0.925,0.000,0
860,0.924,0.000,0
861,0.922,0.000,0
862,0.769,0.000,0
863,0.790,0.000,0
864,0.708,0.000,0
865,0.928,0.000,0
866,0.932,0.000,0
867,0.924,0.000,0
868,0.925,0.000,0
869,0.923,0.000,0
870,0.921,0.000,0
871,0.921,0.000,0
872,0.921,0.000,0
873,0.920,0.000,0
874,0.925,0.000,0
875,0.916,0.000,0
876,0.919,0.000,0
877,0.920,0.000,0
878,0.920,0.000,0
879,0.920,0.000,0
880,0.920,0.000,0
881,0.926,0.000,0
882,0.933,0.000,0
883,0.924,0.000,0
884,0.925,0.000,0
885,0.923,0.000,0
886,0.920,0.000,0
887,0.921,0.000,0
888,0.921,0.000,0
889,0.918,0.000,0
890,0.925,0.000,0
891,0.919,0.000,0
892,0.921,0.000,0
893,0.920,0.000,0
894,0.921,0.000,0
895,0.920,0.000,0
896,0.920,0.000,0
897,0.926,0.000,0
898,0.930,0.000,0
899,0.923,0.000,0
900,0.925,0.000,0
901,0.923,0.000,0
902,0.920,0.000,0
903,0.921,0.000,0
904,0.921,0.000,0
905,0.919,0.000,0
906,0.924,0.000,0
907,0.917,0.000,0
908,0.921,0.000,0
909,0.920,0.000,0
910,0.921,0.000,0
911,0.919,0.000,0
912,0.920,0.000,0
913,0.921,0.000,0
914,0.928,0.000,0
915,0.928,0.000,0
916,0.696,0.000,0
917,0.740,0.000,0
918,0.639,0.000,0
919,0.677,0.000,0
920,0.707,0.000,0
921,0.921,0.000,0
922,0.910,0.000,0
923,0.917,0.000,0
924,0.918,0.000,0
925,0.919,0.000,0
926,0.918,0.000,0
927,0.919,0.000,0
928,0.919,0.000,0
929,0.923,0.000,0
930,0.905,0.000,0
931,0.916,0.000,0
932,0.915,0.000,0
933,0.918,0.000,0
934,0.918,0.000,0
935,0.918,0.000,0
936,0.916,0.000,0
937,0.921,0.000,0
938,0.909,0.000,0
939,0.915,0.000,0
940,0.915,0.000,0
941,0.918,0.000,0
942,0.916,0.000,0
943,0.917,0.000,0
944,0.918,0.000,0
945,0.921,0.000,0
946,0.911,0.000,0
947,0.919,0.000,0
948,0.918,0.000,0
949,0.921,0.000,0
950,0.921,0.000,0
951,0.919,0.000,0
952,0.918,0.000,0
953,0.924,0.000,0
954,0.910,0.000,0
955,0.916,0.000,0
956,0.916,0.000,0
957,0.919,0.000,0
958,0.918,0.000,0
959,0.919,0.000,0
